Tick 0
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 

Tick 8
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:-1 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:1 | P:0 H:0 C:0 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:-1 | P:0 H:0 C:0 | 
